,Miss work for health past 30 days,Days of poor physical health past 30 days,Days of poor mental health past 30 days,When did your last paid job end,Number of hours worked last week,Gss year for this respondent
355,,,,,25.0,1998.0
356,,,,1995.0,,1998.0
357,,,,1997.0,,1998.0
358,,,,,40.0,1998.0
359,,,,,30.0,1998.0
360,,,,,45.0,1998.0
361,,,,,60.0,1998.0
362,,,,,39.0,1998.0
363,,,,,30.0,1998.0
364,,,,,15.0,1998.0
365,,,,,40.0,1998.0
366,,,,,10.0,1998.0
367,,,,,30.0,1998.0
368,,,,,40.0,1998.0
369,,,,,56.0,1998.0
370,,,,,12.0,1998.0
371,,,,,,1998.0
372,,,,,60.0,1998.0
373,,,,,40.0,1998.0
374,,,,,40.0,1998.0
375,,,,,,1998.0
376,,,,,40.0,1998.0
377,,,,,20.0,1998.0
378,,,,,,1998.0
379,,,,1989.0,,1998.0
380,,,,,,1998.0
381,,,,,40.0,1998.0
382,,,,,60.0,1998.0
383,,,,,,1998.0
384,,,,,,1998.0
385,,,,,60.0,1998.0
386,,,,,30.0,1998.0
387,,,,,,1998.0
388,,,,,50.0,1998.0
389,,,,,70.0,1998.0
390,,,,,40.0,1998.0
391,,,,,40.0,1998.0
392,,,,,40.0,1998.0
393,,,,,,1998.0
394,,,,,,1998.0
395,,,,,40.0,1998.0
396,,,,,32.0,1998.0
397,,,,,25.0,1998.0
398,,,,,,1998.0
399,,,,,,1998.0
400,,,,,80.0,1998.0
401,,,,1994.0,,1998.0
402,,,,,25.0,1998.0
403,,,,,50.0,1998.0
404,,,,,50.0,1998.0
405,,,,,50.0,1998.0
406,,,,,45.0,1998.0
407,,,,,50.0,1998.0
408,,,,,,1998.0
409,,,,,20.0,1998.0
410,,,,,40.0,1998.0
411,,,,,40.0,1998.0
412,,,,,42.0,1998.0
413,,,,,,1998.0
414,,,,,40.0,1998.0
415,,,,,40.0,1998.0
416,,,,,60.0,1998.0
417,,,,,40.0,1998.0
418,,,,,40.0,1998.0
419,,,,,40.0,1998.0
420,,,,,40.0,1998.0
421,,,,,40.0,1998.0
422,,,,,40.0,1998.0
423,,,,,40.0,1998.0
424,,,,1993.0,,1998.0
425,,,,,,1998.0
426,,,,,40.0,1998.0
427,,,,,85.0,1998.0
428,,,,,32.0,1998.0
429,,,,,40.0,1998.0
430,,,,,47.0,1998.0
431,,,,,40.0,1998.0
432,,,,,40.0,1998.0
433,,,,,20.0,1998.0
434,,,,,,1998.0
435,,,,1985.0,,1998.0
436,,,,,,1998.0
437,,,,,,1998.0
438,,,,,50.0,1998.0
439,,,,,60.0,1998.0
440,,,,,45.0,1998.0
441,,,,,15.0,1998.0
442,,,,,,1998.0
443,,,,,60.0,1998.0
444,,,,,30.0,1998.0
445,,,,,50.0,1998.0
446,,,,,7.0,1998.0
447,,,,,40.0,1998.0
448,,,,,40.0,1998.0
449,,,,,,1998.0
450,,,,,,1998.0
451,,,,,40.0,1998.0
452,,,,,50.0,1998.0
453,,,,,40.0,1998.0
454,,,,,,1998.0
455,,,,,40.0,1998.0
456,,,,,,1998.0
457,,,,,30.0,1998.0
458,,,,,,1998.0
459,,,,,40.0,1998.0
460,,,,,40.0,1998.0
461,,,,,50.0,1998.0
462,,,,,65.0,1998.0
463,,,,,25.0,1998.0
464,,,,,37.0,1998.0
465,,,,,40.0,1998.0
466,,,,,35.0,1998.0
467,,,,,,1998.0
468,,,,,40.0,1998.0
469,,,,,40.0,1998.0
470,,,,,20.0,1998.0
471,,,,,35.0,1998.0
472,,,,,,1998.0
473,,,,,,1998.0
474,,,,1980.0,,1998.0
475,,,,,40.0,1998.0
476,,,,,68.0,1998.0
477,,,,,,1998.0
478,,,,,40.0,1998.0
